#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1EA8
#Date Time: 2020-05-19 16:47:40.564
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),Digital wave
-1.763e-05,1084
-1.762e-05,1084
-1.761e-05,1825
-1.76e-05,1825
-1.759e-05,1825
-1.758e-05,1825
-1.757e-05,1825
-1.756e-05,3126
-1.755e-05,3126
-1.754e-05,3126
-1.753e-05,3126
-1.752e-05,3126
-1.751e-05,1825
-1.75e-05,1825
-1.749e-05,1825
-1.748e-05,1825
-1.747e-05,1825
-1.746e-05,2270
-1.745e-05,1855
-1.744e-05,4095
-1.743e-05,4095
-1.742e-05,4095
-1.741e-05,4061
-1.74e-05,2268
-1.739e-05,2268
-1.738e-05,2268
-1.737e-05,2268
-1.736e-05,967
-1.735e-05,967
-1.734e-05,967
-1.733e-05,967
-1.732e-05,967
-1.731e-05,2268
-1.73e-05,2268
-1.729e-05,2268
-1.728e-05,2268
-1.727e-05,2268
-1.726e-05,3009
-1.725e-05,3009
-1.724e-05,3009
-1.723e-05,3009
-1.722e-05,3009
-1.721e-05,1342
-1.72e-05,4094
-1.719e-05,4094
-1.718e-05,4094
-1.717e-05,4094
-1.716e-05,3017
-1.715e-05,3009
-1.714e-05,3009
-1.713e-05,3009
-1.712e-05,3009
-1.711e-05,2268
-1.71e-05,2268
-1.709e-05,2268
-1.708e-05,2268
-1.707e-05,2268
-1.706e-05,967
-1.705e-05,967
-1.704e-05,967
-1.703e-05,967
-1.702e-05,967
-1.701e-05,2268
-1.7e-05,2268
-1.699e-05,2268
-1.698e-05,2268
-1.697e-05,2268
-1.696e-05,1827
-1.695e-05,4095
-1.694e-05,4095
-1.693e-05,4095
-1.692e-05,4095
-1.691e-05,3036
-1.69e-05,2268
-1.689e-05,2268
-1.688e-05,2268
-1.687e-05,2268
-1.686e-05,967
-1.685e-05,967
-1.684e-05,967
-1.683e-05,967
-1.682e-05,967
-1.681e-05,2268
-1.68e-05,2268
-1.679e-05,2268
-1.678e-05,2268
-1.677e-05,2268
-1.676e-05,3009
-1.675e-05,3009
-1.674e-05,3009
-1.673e-05,3009
-1.672e-05,3009
-1.671e-05,1342
-1.67e-05,4094
-1.669e-05,4094
-1.668e-05,4094
-1.667e-05,4094
-1.666e-05,3017
-1.665e-05,3009
-1.664e-05,3009
-1.663e-05,3009
-1.662e-05,3009
-1.661e-05,2268
-1.66e-05,2268
-1.659e-05,2268
-1.658e-05,2268
-1.657e-05,2268
-1.656e-05,967
-1.655e-05,967
-1.654e-05,967
-1.653e-05,967
-1.652e-05,967
-1.651e-05,2268
-1.65e-05,2268
-1.649e-05,2268
-1.648e-05,2268
-1.647e-05,2268
-1.646e-05,1827
-1.645e-05,4095
-1.644e-05,4095
-1.643e-05,4095
-1.642e-05,4095
-1.641e-05,3903
-1.64e-05,1825
-1.639e-05,1825
-1.638e-05,1825
-1.637e-05,1825
-1.636e-05,3126
-1.635e-05,3126
-1.634e-05,3126
-1.633e-05,3126
-1.632e-05,3126
-1.631e-05,1825
-1.63e-05,1825
-1.629e-05,1825
-1.628e-05,1825
-1.627e-05,1825
-1.626e-05,1084
-1.625e-05,1084
-1.624e-05,1084
-1.623e-05,1084
-1.622e-05,1084
-1.621e-05,3
-1.62e-05,0
-1.619e-05,0
-1.618e-05,0
-1.617e-05,0
-1.616e-05,1084
-1.615e-05,1084
-1.614e-05,1084
-1.613e-05,1084
-1.612e-05,1084
-1.611e-05,1825
-1.61e-05,1825
-1.609e-05,1825
-1.608e-05,1825
-1.607e-05,1825
-1.606e-05,3126
-1.605e-05,3126
-1.604e-05,3126
-1.603e-05,3126
-1.602e-05,3126
-1.601e-05,1825
-1.6e-05,1825
-1.599e-05,1825
-1.598e-05,1825
-1.597e-05,1825
-1.596e-05,2270
-1.595e-05,1855
-1.594e-05,4095
-1.593e-05,4095
-1.592e-05,4095
-1.591e-05,1851
-1.59e-05,1825
-1.589e-05,1825
-1.588e-05,1825
-1.587e-05,1825
-1.586e-05,3126
-1.585e-05,3126
-1.584e-05,3126
-1.583e-05,3126
-1.582e-05,3126
-1.581e-05,1825
-1.58e-05,1825
-1.579e-05,1825
-1.578e-05,1825
-1.577e-05,1825
-1.576e-05,1084
-1.575e-05,1084
-1.574e-05,1084
-1.573e-05,1084
-1.572e-05,1084
-1.571e-05,3
-1.57e-05,0
-1.569e-05,0
-1.568e-05,0
-1.567e-05,0
-1.566e-05,1084
-1.565e-05,1084
-1.564e-05,1084
-1.563e-05,1084
-1.562e-05,1084
-1.561e-05,1825
-1.56e-05,1825
-1.559e-05,1825
-1.558e-05,1825
-1.557e-05,1825
-1.556e-05,3126
-1.555e-05,3126
-1.554e-05,3126
-1.553e-05,3126
-1.552e-05,3126
-1.551e-05,1825
-1.55e-05,1825
-1.549e-05,1825
-1.548e-05,1825
-1.547e-05,1825
-1.546e-05,2270
-1.545e-05,1855
-1.544e-05,4095
-1.543e-05,4095
-1.542e-05,4095
-1.541e-05,4061
-1.54e-05,2268
-1.539e-05,2268
-1.538e-05,2268
-1.537e-05,2268
-1.536e-05,967
-1.535e-05,967
-1.534e-05,967
-1.533e-05,967
-1.532e-05,967
-1.531e-05,2268
-1.53e-05,2268
-1.529e-05,2268
-1.528e-05,2268
-1.527e-05,2268
-1.526e-05,3009
-1.525e-05,3009
-1.524e-05,3009
-1.523e-05,3009
-1.522e-05,3009
-1.521e-05,1342
-1.52e-05,4094
-1.519e-05,4094
-1.518e-05,4094
-1.517e-05,4094
-1.516e-05,3017
-1.515e-05,3009
-1.514e-05,3009
-1.513e-05,3009
-1.512e-05,3009
-1.511e-05,2268
-1.51e-05,2268
-1.509e-05,2268
-1.508e-05,2268
-1.507e-05,2268
-1.506e-05,967
-1.505e-05,967
-1.504e-05,967
-1.503e-05,967
-1.502e-05,967
-1.501e-05,2268
-1.5e-05,2268
-1.499e-05,2268
-1.498e-05,2268
-1.497e-05,2268
-1.496e-05,1827
-1.495e-05,4095
-1.494e-05,4095
-1.493e-05,4095
-1.492e-05,4095
-1.491e-05,2780
-1.49e-05,2268
-1.489e-05,2268
-1.488e-05,2268
-1.487e-05,2268
-1.486e-05,967
-1.485e-05,967
-1.484e-05,967
-1.483e-05,967
-1.482e-05,967
-1.481e-05,2268
-1.48e-05,2268
-1.479e-05,2268
-1.478e-05,2268
-1.477e-05,2268
-1.476e-05,3009
-1.475e-05,3009
-1.474e-05,3009
-1.473e-05,3009
-1.472e-05,3009
-1.471e-05,1342
-1.47e-05,4094
-1.469e-05,4094
-1.468e-05,4094
-1.467e-05,4094
-1.466e-05,3017
-1.465e-05,3009
-1.464e-05,3009
-1.463e-05,3009
-1.462e-05,3009
-1.461e-05,2268
-1.46e-05,2268
-1.459e-05,2268
-1.458e-05,2268
-1.457e-05,2268
-1.456e-05,967
-1.455e-05,967
-1.454e-05,967
-1.453e-05,967
-1.452e-05,967
-1.451e-05,2268
-1.45e-05,2268
-1.449e-05,2268
-1.448e-05,2268
-1.447e-05,2268
-1.446e-05,1827
-1.445e-05,4095
-1.444e-05,4095
-1.443e-05,4095
-1.442e-05,4095
-1.441e-05,3903
-1.44e-05,1825
-1.439e-05,1825
-1.438e-05,1825
-1.437e-05,1825
-1.436e-05,3126
-1.435e-05,3126
-1.434e-05,3126
-1.433e-05,3126
-1.432e-05,3126
-1.431e-05,1825
-1.43e-05,1825
-1.429e-05,1825
-1.428e-05,1825
-1.427e-05,1825
-1.426e-05,1084
-1.425e-05,1084
-1.424e-05,1084
-1.423e-05,1084
-1.422e-05,1084
-1.421e-05,3
-1.42e-05,0
-1.419e-05,0
-1.418e-05,0
-1.417e-05,0
-1.416e-05,1084
-1.415e-05,1084
-1.414e-05,1084
-1.413e-05,1084
-1.412e-05,1084
-1.411e-05,1825
-1.41e-05,1825
-1.409e-05,1825
-1.408e-05,1825
-1.407e-05,1825
-1.406e-05,3126
-1.405e-05,3126
-1.404e-05,3126
-1.403e-05,3126
-1.402e-05,3126
-1.401e-05,1825
-1.4e-05,1825
-1.399e-05,1825
-1.398e-05,1825
-1.397e-05,1825
-1.396e-05,2270
-1.395e-05,1855
-1.394e-05,4095
-1.393e-05,4095
-1.392e-05,4095
-1.391e-05,4061
-1.39e-05,2268
-1.389e-05,2268
-1.388e-05,2268
-1.387e-05,2268
-1.386e-05,967
-1.385e-05,967
-1.384e-05,967
-1.383e-05,967
-1.382e-05,967
-1.381e-05,2268
-1.38e-05,2268
-1.379e-05,2268
-1.378e-05,2268
-1.377e-05,2268
-1.376e-05,3009
-1.375e-05,3009
-1.374e-05,3009
-1.373e-05,3009
-1.372e-05,3009
-1.371e-05,1342
-1.37e-05,4094
-1.369e-05,4094
-1.368e-05,4094
-1.367e-05,4094
-1.366e-05,3017
-1.365e-05,3009
-1.364e-05,3009
-1.363e-05,3009
-1.362e-05,3009
-1.361e-05,2268
-1.36e-05,2268
-1.359e-05,2268
-1.358e-05,2268
-1.357e-05,2268
-1.356e-05,967
-1.355e-05,967
-1.354e-05,967
-1.353e-05,967
-1.352e-05,967
-1.351e-05,2268
-1.35e-05,2268
-1.349e-05,2268
-1.348e-05,2268
-1.347e-05,2268
-1.346e-05,1827
-1.345e-05,4095
-1.344e-05,4095
-1.343e-05,4095
-1.342e-05,4095
-1.341e-05,3903
-1.34e-05,1825
-1.339e-05,1825
-1.338e-05,1825
-1.337e-05,1825
-1.336e-05,3126
-1.335e-05,3126
-1.334e-05,3126
-1.333e-05,3126
-1.332e-05,3126
-1.331e-05,1825
-1.33e-05,1825
-1.329e-05,1825
-1.328e-05,1825
-1.327e-05,1825
-1.326e-05,1084
-1.325e-05,1084
-1.324e-05,1084
-1.323e-05,1084
-1.322e-05,1084
-1.321e-05,2
-1.32e-05,0
-1.319e-05,0
-1.318e-05,0
-1.317e-05,0
-1.316e-05,1084
-1.315e-05,1084
-1.314e-05,1084
-1.313e-05,1084
-1.312e-05,1084
-1.311e-05,1825
-1.31e-05,1825
-1.309e-05,1825
-1.308e-05,1825
-1.307e-05,1825
-1.306e-05,3126
-1.305e-05,3126
-1.304e-05,3126
-1.303e-05,3126
-1.302e-05,3126
-1.301e-05,1825
-1.3e-05,1825
-1.299e-05,1825
-1.298e-05,1825
-1.297e-05,1825
-1.296e-05,2270
-1.295e-05,1855
-1.294e-05,4095
-1.293e-05,4095
-1.292e-05,4095
-1.291e-05,4061
-1.29e-05,2268
-1.289e-05,2268
-1.288e-05,2268
-1.287e-05,2268
-1.286e-05,967
-1.285e-05,967
-1.284e-05,967
-1.283e-05,967
-1.282e-05,967
-1.281e-05,2268
-1.28e-05,2268
-1.279e-05,2268
-1.278e-05,2268
-1.277e-05,2268
-1.276e-05,3009
-1.275e-05,3009
-1.274e-05,3009
-1.273e-05,3009
-1.272e-05,3009
-1.271e-05,1342
-1.27e-05,4094
-1.269e-05,4094
-1.268e-05,4094
-1.267e-05,4094
-1.266e-05,3017
-1.265e-05,3009
-1.264e-05,3009
-1.263e-05,3009
-1.262e-05,3009
-1.261e-05,2268
-1.26e-05,2268
-1.259e-05,2268
-1.258e-05,2268
-1.257e-05,2268
-1.256e-05,967
-1.255e-05,967
-1.254e-05,967
-1.253e-05,967
-1.252e-05,967
-1.251e-05,2268
-1.25e-05,2268
-1.249e-05,2268
-1.248e-05,2268
-1.247e-05,2268
-1.246e-05,1827
-1.245e-05,4095
-1.244e-05,4095
-1.243e-05,4095
-1.242e-05,4095
-1.241e-05,3903
-1.24e-05,1825
-1.239e-05,1825
-1.238e-05,1825
-1.237e-05,1825
-1.236e-05,3126
-1.235e-05,3126
-1.234e-05,3126
-1.233e-05,3126
-1.232e-05,3126
-1.231e-05,1825
-1.23e-05,1825
-1.229e-05,1825
-1.228e-05,1825
-1.227e-05,1825
-1.226e-05,1084
-1.225e-05,1084
-1.224e-05,1084
-1.223e-05,1084
-1.222e-05,1084
-1.221e-05,2
-1.22e-05,0
-1.219e-05,0
-1.218e-05,0
-1.217e-05,0
-1.216e-05,1084
-1.215e-05,1084
-1.214e-05,1084
-1.213e-05,1084
-1.212e-05,1084
-1.211e-05,1825
-1.21e-05,1825
-1.209e-05,1825
-1.208e-05,1825
-1.207e-05,1825
-1.206e-05,3126
-1.205e-05,3126
-1.204e-05,3126
-1.203e-05,3126
-1.202e-05,3126
-1.201e-05,1825
-1.2e-05,1825
-1.199e-05,1825
-1.198e-05,1825
-1.197e-05,1825
-1.196e-05,2270
-1.195e-05,1855
-1.194e-05,4095
-1.193e-05,4095
-1.192e-05,4095
-1.191e-05,1851
-1.19e-05,1825
-1.189e-05,1825
-1.188e-05,1825
-1.187e-05,1825
-1.186e-05,3126
-1.185e-05,3126
-1.184e-05,3126
-1.183e-05,3126
-1.182e-05,3126
-1.181e-05,1825
-1.18e-05,1825
-1.179e-05,1825
-1.178e-05,1825
-1.177e-05,1825
-1.176e-05,1084
-1.175e-05,1084
-1.174e-05,1084
-1.173e-05,1084
-1.172e-05,1084
-1.171e-05,2
-1.17e-05,0
-1.169e-05,0
-1.168e-05,0
-1.167e-05,0
-1.166e-05,1084
-1.165e-05,1084
-1.164e-05,1084
-1.163e-05,1084
-1.162e-05,1084
-1.161e-05,1825
-1.16e-05,1825
-1.159e-05,1825
-1.158e-05,1825
-1.157e-05,1825
-1.156e-05,3126
-1.155e-05,3126
-1.154e-05,3126
-1.153e-05,3126
-1.152e-05,3126
-1.151e-05,1825
-1.15e-05,1825
-1.149e-05,1825
-1.148e-05,1825
-1.147e-05,1825
-1.146e-05,2270
-1.145e-05,1855
-1.144e-05,4095
-1.143e-05,4095
-1.142e-05,4095
-1.141e-05,4061
-1.14e-05,2268
-1.139e-05,2268
-1.138e-05,2268
-1.137e-05,2268
-1.136e-05,967
-1.135e-05,967
-1.134e-05,967
-1.133e-05,967
-1.132e-05,967
-1.131e-05,2268
-1.13e-05,2268
-1.129e-05,2268
-1.128e-05,2268
-1.127e-05,2268
-1.126e-05,3009
-1.125e-05,3009
-1.124e-05,3009
-1.123e-05,3009
-1.122e-05,3009
-1.121e-05,1342
-1.12e-05,4094
-1.119e-05,4094
-1.118e-05,4094
-1.117e-05,4094
-1.116e-05,3017
-1.115e-05,3009
-1.114e-05,3009
-1.113e-05,3009
-1.112e-05,3009
-1.111e-05,2268
-1.11e-05,2268
-1.109e-05,2268
-1.108e-05,2268
-1.107e-05,2268
-1.106e-05,967
-1.105e-05,967
-1.104e-05,967
-1.103e-05,967
-1.102e-05,967
-1.101e-05,2268
-1.1e-05,2268
-1.099e-05,2268
-1.098e-05,2268
-1.097e-05,2268
-1.096e-05,1827
-1.095e-05,4095
-1.094e-05,4095
-1.093e-05,4095
-1.092e-05,4095
-1.091e-05,2780
-1.09e-05,2268
-1.089e-05,2268
-1.088e-05,2268
-1.087e-05,2268
-1.086e-05,967
-1.085e-05,967
-1.084e-05,967
-1.083e-05,967
-1.082e-05,967
-1.081e-05,2268
-1.08e-05,2268
-1.079e-05,2268
-1.078e-05,2268
-1.077e-05,2268
-1.076e-05,3009
-1.075e-05,3009
-1.074e-05,3009
-1.073e-05,3009
-1.072e-05,3009
-1.071e-05,1342
-1.07e-05,4094
-1.069e-05,4094
-1.068e-05,4094
-1.067e-05,4094
-1.066e-05,3017
-1.065e-05,3009
-1.064e-05,3009
-1.063e-05,3009
-1.062e-05,3009
-1.061e-05,2268
-1.06e-05,2268
-1.059e-05,2268
-1.058e-05,2268
-1.057e-05,2268
-1.056e-05,967
-1.055e-05,967
-1.054e-05,967
-1.053e-05,967
-1.052e-05,967
-1.051e-05,2268
-1.05e-05,2268
-1.049e-05,2268
-1.048e-05,2268
-1.047e-05,2268
-1.046e-05,1827
-1.045e-05,4095
-1.044e-05,4095
-1.043e-05,4095
-1.042e-05,4095
-1.041e-05,3903
-1.04e-05,1825
-1.039e-05,1825
-1.038e-05,1825
-1.037e-05,1825
-1.036e-05,3126
-1.035e-05,3126
-1.034e-05,3126
-1.033e-05,3126
-1.032e-05,3126
-1.031e-05,1825
-1.03e-05,1825
-1.029e-05,1825
-1.028e-05,1825
-1.027e-05,1825
-1.026e-05,1084
-1.025e-05,1084
-1.024e-05,1084
-1.023e-05,1084
-1.022e-05,1084
-1.021e-05,2
-1.02e-05,0
-1.019e-05,0
-1.018e-05,0
-1.017e-05,0
-1.016e-05,1084
-1.015e-05,1084
-1.014e-05,1084
-1.013e-05,1084
-1.012e-05,1084
-1.011e-05,1825
-1.01e-05,1825
-1.009e-05,1825
-1.008e-05,1825
-1.007e-05,1825
-1.006e-05,3126
-1.005e-05,3126
-1.004e-05,3126
-1.003e-05,3126
-1.002e-05,3126
-1.001e-05,1825
-1e-05,1825
-9.989999999999999e-06,1825
-9.979999999999999e-06,1825
-9.969999999999999e-06,1825
-9.96e-06,2270
-9.95e-06,1855
-9.94e-06,4095
-9.93e-06,4095
-9.92e-06,4095
-9.91e-06,1851
-9.9e-06,1825
-9.89e-06,1825
-9.88e-06,1825
-9.87e-06,1825
-9.86e-06,3126
-9.850000000000001e-06,3126
-9.840000000000001e-06,3126
-9.830000000000001e-06,3126
-9.819999999999999e-06,3126
-9.809999999999999e-06,1825
-9.799999999999999e-06,1825
-9.789999999999999e-06,1825
-9.78e-06,1825
-9.77e-06,1825
-9.76e-06,1084
-9.75e-06,1084
-9.74e-06,1084
-9.73e-06,1084
-9.72e-06,1084
-9.71e-06,2
-9.7e-06,0
-9.69e-06,0
-9.68e-06,0
-9.670000000000001e-06,0
-9.660000000000001e-06,1084
-9.650000000000001e-06,1084
-9.639999999999999e-06,1084
-9.629999999999999e-06,1084
-9.619999999999999e-06,1084
-9.609999999999999e-06,1825
-9.6e-06,1825
-9.59e-06,1825
-9.58e-06,1825
-9.57e-06,1825
-9.56e-06,3126
-9.55e-06,3126
-9.54e-06,3126
-9.53e-06,3126
-9.52e-06,3126
-9.51e-06,1825
-9.500000000000001e-06,1825
-9.490000000000001e-06,1825
-9.480000000000001e-06,1825
