#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1EA8
#Date Time: 2020-05-15 16:56:38.755
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),Bus
-2.797e-05,32
-2.796e-05,196
-2.795e-05,196
-2.794e-05,196
-2.793e-05,196
-2.792e-05,774
-2.791e-05,838
-2.79e-05,774
-2.789e-05,1675
-2.788e-05,1675
-2.787e-05,1675
-2.786e-05,2958
-2.785e-05,3871
-2.784e-05,2822
-2.783e-05,2823
-2.782e-05,4079
-2.781e-05,4079
-2.78e-05,4079
-2.779e-05,1271
-2.778e-05,2047
-2.777e-05,4087
-2.776e-05,3583
-2.775e-05,3959
-2.774e-05,2418
-2.773e-05,2419
-2.772e-05,3319
-2.771e-05,3319
-2.77e-05,3319
-2.769e-05,3897
-2.768e-05,4095
-2.767e-05,3897
-2.766e-05,4094
-2.765e-05,4095
-2.764e-05,4094
-2.763e-05,4095
-2.762e-05,3897
-2.761e-05,3899
-2.76e-05,3897
-2.759e-05,3319
-2.758e-05,3327
-2.757e-05,3319
-2.756e-05,3071
-2.755e-05,3959
-2.754e-05,2418
-2.753e-05,2419
-2.752e-05,1271
-2.751e-05,1271
-2.75e-05,1271
-2.749e-05,4079
-2.748e-05,4079
-2.747e-05,4079
-2.746e-05,4095
-2.745e-05,3919
-2.744e-05,2982
-2.743e-05,2823
-2.742e-05,1675
-2.741e-05,1675
-2.74e-05,1675
-2.739e-05,2934
-2.738e-05,1950
-2.737e-05,774
-2.736e-05,3014
-2.735e-05,228
-2.734e-05,196
-2.733e-05,196
-2.732e-05,3890
-2.731e-05,193
-2.73e-05,0
-2.729e-05,196
-2.728e-05,196
-2.727e-05,196
-2.726e-05,902
-2.725e-05,774
-2.724e-05,774
-2.723e-05,774
-2.722e-05,1675
-2.721e-05,1675
-2.72e-05,1675
-2.719e-05,2838
-2.718e-05,3982
-2.717e-05,2822
-2.716e-05,4079
-2.715e-05,4079
-2.714e-05,4079
-2.713e-05,4095
-2.712e-05,1271
-2.711e-05,4095
-2.71e-05,2039
-2.709e-05,2938
-2.708e-05,4087
-2.707e-05,2418
-2.706e-05,3319
-2.705e-05,3319
-2.704e-05,3319
-2.703e-05,3319
-2.702e-05,3897
-2.701e-05,4091
-2.7e-05,3897
-2.699e-05,4094
-2.698e-05,4094
-2.697e-05,4094
-2.696e-05,4093
-2.695e-05,3897
-2.694e-05,3897
-2.693e-05,3961
-2.692e-05,3319
-2.691e-05,3831
-2.69e-05,3319
-2.689e-05,3066
-2.688e-05,3062
-2.687e-05,2418
-2.686e-05,1527
-2.685e-05,1271
-2.684e-05,1271
-2.683e-05,3319
-2.682e-05,4079
-2.681e-05,4079
