Time (s),Bus
0.0400377,2455
0.04003771,3688
0.04003772,4008
0.04003773,2675
0.04003774,2519
0.04003775,3668
0.04003776,4008
0.04003777,2811
0.04003778,970
0.04003779,85
0.0400378,437
0.04003781,1574
0.04003782,1346
0.04003783,279
0.04003784,167
0.04003785,1638
0.04003786,2961
0.04003787,4062
0.04003788,3275
0.04003789,2220
0.0400379,3874
0.04003791,4058
0.04003792,3535
0.04003793,3580
0.04003794,558
0.04003795,79
0.04003796,1755
0.04003797,1983
0.04003798,958
0.04003799,67
0.040038,921
0.04003801,1574
0.04003802,3688
0.04003803,4072
0.04003804,3171
0.04003805,2519
0.04003806,3688
0.04003807,4008
0.04003808,2683
0.04003809,1858
0.0400381,277
0.04003811,167
0.04003812,1638
0.04003813,2517
0.04003814,3926
0.04003815,3753
0.04003816,2747
0.04003817,986
0.04003818,81
0.04003819,405
0.0400382,1574
0.04003821,1858
0.04003822,341
0.04003823,437
0.04003824,1638
0.04003825,3362
0.04003826,4058
0.04003827,3535
0.04003828,2284
0.04003829,922
0.0400383,67
0.04003831,401
0.04003832,1574
0.04003833,3882
0.04003834,4090
0.04003835,3431
0.04003836,2276
0.04003837,3624
0.04003838,4072
0.04003839,3171
0.0400384,1875
0.04003841,1303
0.04003842,167
0.04003843,1638
0.04003844,2519
0.04003845,3668
0.04003846,4008
0.04003847,2811
0.04003848,970
0.04003849,85
0.0400385,437
0.04003851,1574
0.04003852,3029
0.04003853,3926
0.04003854,3755
0.04003855,2236
0.04003856,922
0.04003857,67
0.04003858,913
0.04003859,1574
0.0400386,3362
0.04003861,4058
0.04003862,3535
0.04003863,3580
0.04003864,558
0.04003865,79
0.04003866,1755
0.04003867,1983
0.04003868,3882
0.04003869,4090
0.0400387,3431
0.04003871,1811
0.04003872,310
0.04003873,31
0.04003874,1128
0.04003875,471
0.04003876,3688
0.04003877,4008
0.04003878,2675
0.04003879,1858
0.0400388,277
0.04003881,167
0.04003882,1638
0.04003883,1875
0.04003884,279
0.04003885,167
0.04003886,1128
0.04003887,2965
0.04003888,3926
0.04003889,3755
0.0400389,2748
0.04003891,3989
0.04003892,4062
0.04003893,3275
0.04003894,2220
0.04003895,686
0.04003896,67
0.04003897,731
0.04003898,1574
0.04003899,3362
0.040039,4090
0.04003901,3535
0.04003902,1813
0.04003903,574
0.04003904,31
0.04003905,1130
0.04003906,411
0.04003907,3624
0.04003908,4072
0.04003909,3171
0.0400391,1875
0.04003911,1303
0.04003912,167
0.04003913,1638
0.04003914,1809
0.04003915,310
0.04003916,31
0.04003917,1128
0.04003918,2453
0.04003919,3926
0.0400392,3753
0.04003921,2747
0.04003922,1875
0.04003923,279
0.04003924,167
0.04003925,1638
0.04003926,2961
0.04003927,4062
0.04003928,3275
0.04003929,2220
0.0400393,3362
0.04003931,4058
0.04003932,3535
0.04003933,3580
0.04003934,558
0.04003935,79
0.04003936,1755
0.04003937,1983
0.04003938,3882
0.04003939,4090
0.0400394,3431
0.04003941,1811
0.04003942,310
0.04003943,31
0.04003944,1128
0.04003945,471
0.04003946,3688
0.04003947,4008
0.04003948,2683
0.04003949,1858
0.0400395,277
0.04003951,167
0.04003952,1638
0.04003953,1875
0.04003954,279
0.04003955,167
0.04003956,1128
0.04003957,2965
0.04003958,3926
0.04003959,3755
0.0400396,2236
0.04003961,3989
0.04003962,4062
0.04003963,3275
0.04003964,2220
0.04003965,686
0.04003966,67
0.04003967,731
0.04003968,1574
0.04003969,3362
0.0400397,4090
0.04003971,3535
0.04003972,1809
0.04003973,574
0.04003974,31
0.04003975,1130
0.04003976,1433
0.04003977,558
0.04003978,75
0.04003979,731
0.0400398,2455
0.04003981,3688
0.04003982,4008
0.04003983,2683
0.04003984,2519
0.04003985,3668
0.04003986,4008
0.04003987,2811
0.04003988,970
0.04003989,85
0.0400399,437
0.04003991,1574
0.04003992,3029
0.04003993,3926
0.04003994,3755
0.04003995,2236
0.04003996,922
0.04003997,67
0.04003998,913
0.04003999,1574
0.04004,970
0.04004001,85
0.04004002,405
0.04004003,1574
0.04004004,3362
0.04004005,4090
0.04004006,3535
0.04004007,2284
0.04004008,958
0.04004009,67
0.0400401,921
0.04004011,1574
0.04004012,3688
0.04004013,4072
0.04004014,3171
0.04004015,2519
0.04004016,3688
0.04004017,4008
0.04004018,2683
0.04004019,1858
0.0400402,277
0.04004021,167
0.04004022,1638
0.04004023,2517
0.04004024,3926
0.04004025,3753
0.04004026,2747
0.04004027,986
0.04004028,85
0.04004029,405
0.0400403,1574
0.04004031,1858
0.04004032,341
0.04004033,181
0.04004034,1638
0.04004035,3362
0.04004036,4058
0.04004037,3535
0.04004038,2284
0.04004039,922
0.0400404,67
0.04004041,401
0.04004042,1574
0.04004043,3882
0.04004044,4090
0.04004045,3431
0.04004046,2284
0.04004047,558
0.04004048,75
0.04004049,731
0.0400405,2455
0.04004051,3688
0.04004052,4008
0.04004053,2675
0.04004054,2519
0.04004055,3668
0.04004056,4008
0.04004057,2811
0.04004058,970
0.04004059,85
0.0400406,437
0.04004061,1574
0.04004062,3029
0.04004063,3926
0.04004064,3755
0.04004065,2236
0.04004066,986
